x,y,score
598600,198700,38
600000,197800,45
602400,202800,21
597200,199000,31
596600,198900,61
600100,198800,33
600400,199300,41
596100,198000,33
595300,199500,36
603400,200600,30
602500,200800,26
603300,198400,24
597200,199400,43
599700,202100,31
601100,198900,31
600700,200300,85
601700,201600,23
603900,200400,122
604800,200800,21
603400,201200,30
603500,203100,30
599600,200000,58
601800,201500,69
600700,199900,46
601200,201400,30
599600,200200,62
600100,198600,22
601000,199700,29
605000,197900,38
601000,200800,42
601100,201000,98
599600,199100,55
600300,199900,20
601600,201400,30
600900,199100,34
599900,198600,44
600900,199000,89
599400,199000,41
604600,198400,41
603800,200100,37
604300,202200,37
598300,197400,42
603300,201100,43
605400,198100,62
598400,197900,93
600400,199200,37
601900,200500,26
602100,200500,25
597900,199200,43
599800,202800,25
601000,200300,20
598300,198200,27
602400,199200,121
604600,200600,47
601200,200900,80
604800,198100,25
600100,200700,37
598200,197600,26
599200,202400,36
597900,196900,38
599600,202200,25
600600,199600,133
596100,199000,34
596400,199300,111
598700,197700,21
599200,200000,24
601100,201200,117
603500,198600,42
595800,198600,49
599700,199100,51
601000,201200,46
595900,199300,28
599700,198400,37
596000,198300,30
600900,201200,42
604800,200500,27
604300,201000,20
602700,203400,20
601700,200500,40
602800,202400,39
599500,202000,34
595900,199700,73
599800,198300,37
602200,199300,31
599400,198000,53
599500,200100,77
599300,198900,92
604900,197600,27
598000,199600,23
598900,199300,61
599000,198700,61
597800,199500,40
600300,198900,22
601200,197800,24
602200,198300,37
596600,199000,51
600800,198500,20
601500,200300,52
598300,199200,54
601800,200300,28
599400,202700,20
602600,199200,95
599800,200400,21
600000,197600,79
603500,197700,24
604400,200800,33
601400,200900,166
600300,199700,76
597700,196900,48
596600,199500,38
601500,200600,64
596100,199300,41
601000,200400,54
601800,200400,46
600500,199900,35
602200,202400,27
600600,201000,25
599100,197400,49
604100,200500,63
603300,200600,53
603100,202300,36
600000,197400,41
600700,198500,35
600200,200200,28
605000,200400,30
600700,200800,47
600900,197700,31
603900,200900,22
602100,199300,26
604200,196900,33
601300,201200,27
597100,199100,32
604700,200700,83
596300,199300,81
600800,200900,61
601300,199700,83
599600,198900,70
595500,199900,45
599400,198400,27
603300,197700,20
602900,198600,24
602500,199200,73
602300,198400,32
596600,198200,51
599600,199000,73
604600,198200,21
602200,198400,30
599400,199500,30
599800,198600,70
600500,200900,31
595600,199800,85
603500,200500,80
598400,198500,40
601100,202500,40
602400,198400,33
602100,201500,67
596900,199700,25
