x,y,score
598600,198700,31
600000,197800,27
597200,199000,24
596600,198900,47
600100,198800,22
600400,199300,35
596100,198000,25
595300,199500,27
597200,199400,27
599700,202100,20
601100,198900,25
600700,200300,85
603900,200400,82
603400,201200,23
603500,203100,24
599600,200000,42
601800,201500,47
600700,199900,42
601200,201400,27
599600,200200,50
601000,199700,25
605000,197900,31
601000,200800,24
601100,201000,89
599600,199100,45
601600,201400,28
600900,199100,24
599900,198600,34
600900,199000,71
599400,199000,33
604600,198400,32
603800,200100,28
604300,202200,29
598300,197400,37
603300,201100,27
605400,198100,46
598400,197900,61
600400,199200,30
601900,200500,24
597900,199200,38
598300,198200,26
602400,199200,95
604600,200600,39
601200,200900,73
600100,200700,30
598200,197600,24
599200,202400,33
597900,196900,31
600600,199600,124
596100,199000,25
596400,199300,71
601100,201200,96
603500,198600,31
595800,198600,27
599700,199100,46
601000,201200,38
595900,199300,20
599700,198400,32
596000,198300,27
600900,201200,36
604800,200500,22
601700,200500,35
602800,202400,32
599500,202000,23
595900,199700,45
599800,198300,32
602200,199300,23
599400,198000,45
599500,200100,64
599300,198900,62
604900,197600,23
598900,199300,46
599000,198700,38
597800,199500,31
601200,197800,21
602200,198300,32
596600,199000,29
601500,200300,47
598300,199200,39
602600,199200,64
600000,197600,63
604400,200800,27
601400,200900,116
600300,199700,61
597700,196900,35
596600,199500,28
601500,200600,61
596100,199300,32
601000,200400,47
601800,200400,40
600500,199900,33
602200,202400,30
600600,201000,24
599100,197400,44
604100,200500,51
603300,200600,33
603100,202300,25
600000,197400,31
600700,198500,27
600200,200200,31
600700,200800,35
604200,196900,24
601300,201200,21
597100,199100,23
604700,200700,70
596300,199300,58
600800,200900,50
601300,199700,75
599600,198900,57
595500,199900,37
599400,198400,22
602500,199200,56
602300,198400,29
596600,198200,40
599600,199000,69
602200,198400,25
599400,199500,28
599800,198600,49
600500,200900,26
595600,199800,65
603500,200500,64
598400,198500,36
601100,202500,31
602400,198400,27
602100,201500,37
600800,201100,28
598900,200300,34
600500,201100,42
603400,200400,39
599400,199600,46
601000,200900,59
595500,199800,57
598400,198700,36
603700,199900,39
598200,197700,31
601300,200700,37
600300,198100,28
603300,202600,25
601400,197700,20
599700,200300,43
598400,198900,42
605200,197700,24
601000,199800,24
600900,201000,55
602300,198600,21
601900,199500,39
600600,200500,64
599600,200400,106
596400,199800,32
601100,200400,55
595500,199700,38
601100,200700,33
598300,198300,20
599000,200100,56
601400,200700,25
600300,197600,23
596300,199500,36
599100,200500,53
601600,199000,25
596800,199500,126
604000,200800,27
600400,198100,43
598300,198600,27
598500,198400,22
599300,200400,58
599600,199200,70
595900,199800,51
604600,200800,34
603100,200500,78
596800,199200,24
599300,199200,28
603900,200200,65
595400,199800,24
600800,200500,80
600100,199600,78
598600,199400,30
601400,199700,69
599000,197500,32
600000,197500,52
605900,197600,26
599800,197400,48
596200,199700,48
602200,200400,40
600900,197300,31
596200,199500,20
601600,201200,20
595700,199800,39
602100,201400,35
597800,196600,32
595600,199900,29
598700,197400,50
599400,198900,62
602900,202500,44
596100,199700,27
600500,200800,38
598700,199400,48
600900,200600,34
599800,200500,32
599700,198800,74
600800,201800,59
596700,199400,77
601400,199600,55
600100,199800,61
596900,199400,26
601700,201500,26
601300,201000,61
596100,198700,36
597900,199300,27
597800,197000,24
599500,200500,50
603600,200700,22
602600,198400,67
602300,202500,25
601700,201800,51
599500,200300,26
601000,199600,87
600200,199600,135
601300,201300,32
599500,200400,46
596000,199700,22
600600,200900,44
604600,198300,22
599200,202300,22
602300,200400,31
598200,198700,31
603600,200400,64
599900,200500,36
600800,200700,22
597600,199200,23
602300,199400,31
601400,201400,43
597100,199200,24
599500,199600,28
596000,198800,27
600400,200800,24
599200,199300,54
602800,202300,27
604300,197000,20
595800,199800,43
600900,200700,26
599800,202700,23
601900,200400,53
598700,198800,22
595000,199300,40
601400,197900,24
600400,197500,32
602400,199400,57
603500,202500,22
600700,198600,31
597700,199200,61
595800,197900,29
596100,199800,41
599300,199400,21
599600,200100,34
598700,198000,23
601000,201300,43
596500,199600,27
599600,198300,29
603600,200600,24
596200,198900,46
599400,202100,23
601600,199100,42
600100,198100,37
599000,197700,23
597000,199100,23
603800,201000,55
598400,197200,33
597400,199100,22
602300,199000,70
596300,199800,47
598700,199200,32
596800,199100,31
601300,203900,25
598600,198000,26
601500,201100,20
601700,200700,22
602100,201600,20
598200,197800,87
599300,200100,43
604500,200800,40
599000,198800,41
601800,201900,20
596200,198200,21
602100,198300,34
604200,197900,89
599100,200300,25
596200,199900,52
599700,200400,64
599200,199200,38
603300,200900,41
599400,197900,29
598700,197900,35
596900,198700,30
599900,199700,105
599600,200300,46
603500,198800,29
601900,203200,27
600600,197700,22
599700,199400,55
597000,199200,24
600600,197600,53
595100,199500,52
596300,198900,63
599900,200400,22
600600,199900,72
600400,198500,38
601900,200900,21
599600,200900,20
603500,198900,23
596900,200000,22
598800,199400,37
603900,200100,26
598300,197900,21
603900,198200,22
600500,200400,24
603700,200500,29
599800,198800,66
601000,200600,46
601900,198400,22
601600,199500,22
600500,200500,57
597900,196700,20
603000,200400,46
599100,199800,45
604100,200900,30
605000,197800,28
598300,197600,27
596200,199300,85
600700,202000,45
600500,197600,26
596200,198300,28
602000,199000,22
600900,200400,37
596700,199300,46
601200,197700,30
